album_id,album_name,release_date,tracks_count,uri,album_type
22sXXkKgjEuawIFL1e1tRw,Water,2023-07-28,1,spotify:album:22sXXkKgjEuawIFL1e1tRw,single
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,2023-11-10,1,spotify:album:6VCO0fDBGbRW8mCEvV95af,single
3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15,1,spotify:album:3UOV8XvCwMKaATRNXrYCjN,single
5pTaRVLwZOFObIbRBubmeb,Houdini,2023-11-09,1,spotify:album:5pTaRVLwZOFObIbRBubmeb,single
1H1ivGeE2LjPjE71OITTZs,MY HOUSE,2023-12-01,1,spotify:album:1H1ivGeE2LjPjE71OITTZs,single
18ogtNq9F7DmMkNYO6Xb4k,Strangers,2023-09-01,1,spotify:album:18ogtNq9F7DmMkNYO6Xb4k,single
07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09,23,spotify:album:07w0rG5TETcyihsEIZR3qG,album
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,spotify:album:1NAmidJlEaVgA3MpcPFYGq,album
5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,spotify:album:5pSk3c3wVwnb2arb6ohCPU,album
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,22,spotify:album:4FftCsAcXXD1nFO9RFUNFO,album
54dZypaXHAIDzBe9ujAZ63,Paint The Town Red,2023-08-04,1,spotify:album:54dZypaXHAIDzBe9ujAZ63,single
1xJHno7SmdVtZAtXbdbDZp,GUTS,2023-09-08,12,spotify:album:1xJHno7SmdVtZAtXbdbDZp,album
6PbnGueEO6LGodPfvNldYf,Zach Bryan,2023-08-25,16,spotify:album:6PbnGueEO6LGodPfvNldYf,album
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,11,spotify:album:2Cn1d2KgbkAqbZCJ1RzdkA,album
2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,spotify:album:2b2GHWESCWEuHiCZ2Skedp,single
5q3jthpn2h59P7pe2gmAl7,You're Losing Me (From The Vault),2023-11-29,1,spotify:album:5q3jthpn2h59P7pe2gmAl7,single
6DmPNcfpkXBVRJsEIJY9tl,Scarlet,2023-09-22,17,spotify:album:6DmPNcfpkXBVRJsEIJY9tl,album
5cH7FqB7JD5q1tJXJ7FHYu,Dance The Night (From Barbie The Album),2023-05-25,1,spotify:album:5cH7FqB7JD5q1tJXJ7FHYu,single
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,spotify:album:5O0zUvdnJr0RbWzLFneN2i,single
54FpKE2Pug3xbPz26WUVSH,exes,2023-11-17,2,spotify:album:54FpKE2Pug3xbPz26WUVSH,single
2g4aJTa5ejGpp0O0GKzWAQ,emails i can’t send fwd:,2023-03-17,17,spotify:album:2g4aJTa5ejGpp0O0GKzWAQ,album
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),2023-07-14,3,spotify:album:53985D8g3JcGBoULSOYYKX,single
50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14,14,spotify:album:50ZenUP4O2Q5eCy2NRNvuz,album
66k6EGkPtYoN44anGIsEPW,Si No Estás,2022-09-23,1,spotify:album:66k6EGkPtYoN44anGIsEPW,single
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,spotify:album:7nacKlk586eLRBSIsrk9DB,album
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,spotify:album:1nrVofqDRs7cpWXJ49qTnP,album
3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,1,spotify:album:3AafSrFIbJPH6BJHiJm1Cd,single
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,spotify:album:5qmZefgh78fN3jsyPPlvuw,album
7qcSUc5Af63mhfTF60KTEA,Chemical,2023-04-14,1,spotify:album:7qcSUc5Af63mhfTF60KTEA,single
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21,spotify:album:64LU4c1nfjz1t4VnGhagcg,album
2yHTMVFGHODKJOjVL1hLgk,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,17,spotify:album:2yHTMVFGHODKJOjVL1hLgk,album
5UcGyEltve5psjxSRsHx8E,Something To Give Each Other,2023-10-13,10,spotify:album:5UcGyEltve5psjxSRsHx8E,album
1j5AROUr8rq5xb2CXDIH1c,Lil Boo Thang,2023-08-18,1,spotify:album:1j5AROUr8rq5xb2CXDIH1c,single
4czdORdCWP9umpbhFXK2fW,For All The Dogs,2023-10-06,23,spotify:album:4czdORdCWP9umpbhFXK2fW,album
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,spotify:album:18NOKLkZETa4sWwLMIm0UZ,album
6NcI39WPu4kY6Tul11nhSv,Daylight,2023-04-14,1,spotify:album:6NcI39WPu4kY6Tul11nhSv,single
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,spotify:album:7tzVd1fwkxsorytCBjEJkU,single
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',2023-07-07,2,spotify:album:5V729UqvhwNOcMejx0m55I,single
71MqBkcflJ1Rz1SHo8XSi5,What It Is (Versions),2023-03-17,6,spotify:album:71MqBkcflJ1Rz1SHo8XSi5,single
1y8Yw0NDcP2qxbZufIXt7u,Moonlight,2023-02-24,1,spotify:album:1y8Yw0NDcP2qxbZufIXt7u,single
5MU0RmBSpoSxOPYBfcobDc,Prada,2023-08-11,1,spotify:album:5MU0RmBSpoSxOPYBfcobDc,single
5If2zLk3mlHXuhIS7rQF90,The Beginning,2023-09-22,11,spotify:album:5If2zLk3mlHXuhIS7rQF90,album
3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,2023-03-23,23,spotify:album:3puAvurwvtvi1rodndIPW8,album
5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,spotify:album:5CM66hwjlbZ06LhONWXOAs,single
2LVDNOUUy2g8517ZEtQIcK,(It Goes Like) Nanana [Edit],2023-06-15,1,spotify:album:2LVDNOUUy2g8517ZEtQIcK,single
5DvJgsMLbaR1HmAI6VhfcQ,Endless Summer Vacation,2023-08-18,14,spotify:album:5DvJgsMLbaR1HmAI6VhfcQ,album
7gCggwpSuqUmVzWniLdpKR,TOO MUCH,2023-10-19,1,spotify:album:7gCggwpSuqUmVzWniLdpKR,single
6EejduBuRYb7rzJaD2YCqO,Single Soon,2023-08-25,1,spotify:album:6EejduBuRYb7rzJaD2YCqO,single
6jVg0POvGYH1Pt6lISl3ok,Say Yes To Heaven,2023-05-19,2,spotify:album:6jVg0POvGYH1Pt6lISl3ok,single
5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,2023-06-01,1,spotify:album:5l0QlaI3wdZpE7ggoO5Rwg,single
4rJDCELWL0fjdmN9Gn4f4g,The Forever Story (Extended Version),2022-10-31,16,spotify:album:4rJDCELWL0fjdmN9Gn4f4g,album
2XCjDuNrAObHZrKPhsWvzP,Tee's Coney Island,2023-11-03,16,spotify:album:2XCjDuNrAObHZrKPhsWvzP,album
2Ro9gydgq5JWy7b22zPty9,500lbs,2023-07-21,1,spotify:album:2Ro9gydgq5JWy7b22zPty9,single
2EZ8JL3dtb54VXi3k6E7k6,THE BIGGEST,2023-12-01,7,spotify:album:2EZ8JL3dtb54VXi3k6E7k6,album
7pp3ZbXrqBiaaeRLIAyis5,Lottery Pick,2023-06-16,15,spotify:album:7pp3ZbXrqBiaaeRLIAyis5,album
1D1hLipjrdB6pnxurMtC3E,SET IT OFF,2023-10-13,21,spotify:album:1D1hLipjrdB6pnxurMtC3E,album
31UX5n39Siyj0nXs1s5DSZ,First Day Out (Freestyle),2023-09-05,1,spotify:album:31UX5n39Siyj0nXs1s5DSZ,single
1D3Uf2OkWYQytEbK3NpdMn,Mmhmm,2023-10-06,1,spotify:album:1D3Uf2OkWYQytEbK3NpdMn,single
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,2023-11-17,29,spotify:album:4Q7cRXio6mF2ImVUCcezPO,album
7eJUwUbX2BGnNkLBoOvIlr,Hood Hottest Princess (Deluxe),2023-12-01,22,spotify:album:7eJUwUbX2BGnNkLBoOvIlr,album
0b9jz0diSiituyThsBewRd,Run,2023-12-01,1,spotify:album:0b9jz0diSiituyThsBewRd,single
5bHwBaNZKESVBhqCvs4Ify,HVN ON EARTH,2023-08-18,1,spotify:album:5bHwBaNZKESVBhqCvs4Ify,single
5Nzk5vGBrgjl9Ll8vk8m2q,Long Story Short,2023-11-10,1,spotify:album:5Nzk5vGBrgjl9Ll8vk8m2q,single
4ocf6wJAV6NJCBn8nTkeaj,Glizock & Wizop (feat. Key Glock),2023-10-13,1,spotify:album:4ocf6wJAV6NJCBn8nTkeaj,single
1lzWtPTZrL3ZE1oagDJgvL,Bent,2023-08-04,1,spotify:album:1lzWtPTZrL3ZE1oagDJgvL,single
4GwIahaGnJ2cA4QfAJ74nF,WHAT'S THE MOVE? (feat. Future and BabyDrill),2023-11-08,1,spotify:album:4GwIahaGnJ2cA4QfAJ74nF,single
0xojHpNNGFiPqc3TXmh6Gv,Nostalgia,2023-09-15,18,spotify:album:0xojHpNNGFiPqc3TXmh6Gv,album
2tnjYrSajrt2nlv2Acf1DP,Presha,2023-10-20,1,spotify:album:2tnjYrSajrt2nlv2Acf1DP,single
5csXVq16N67kRKWhgUmWpk,Bachelor,2023-11-03,1,spotify:album:5csXVq16N67kRKWhgUmWpk,single
08VJzxuxr4leLd9YhJNlQl,Cobra,2023-11-03,1,spotify:album:08VJzxuxr4leLd9YhJNlQl,single
5N1Y4h6H1fiS7tIL0fPivM,Big Dog,2023-11-03,1,spotify:album:5N1Y4h6H1fiS7tIL0fPivM,single
1ugjPDt5OYUeYmwYkgqEfQ,Cottonwood 2 (Deluxe 2.0),2023-10-27,40,spotify:album:1ugjPDt5OYUeYmwYkgqEfQ,album
1LaC62xZdpsUF19kVBbPCy,Turn Yo Clic Up (feat. Future),2023-07-14,1,spotify:album:1LaC62xZdpsUF19kVBbPCy,single
5QDOKezJwT63L54s17jMgw,B4 BOA,2023-09-08,3,spotify:album:5QDOKezJwT63L54s17jMgw,single
1QKQ5VaVGwH8zsqTqGU8Zs,Baller,2023-11-03,1,spotify:album:1QKQ5VaVGwH8zsqTqGU8Zs,single
65SsQtOf5Cd25fanX62XRR,When I Was Dead,2023-11-10,19,spotify:album:65SsQtOf5Cd25fanX62XRR,album
30n2gaTkEAk04fqVGusVNh,Cold (feat. B.G. & Mike WiLL Made-It),2023-11-20,1,spotify:album:30n2gaTkEAk04fqVGusVNh,single
69bYMgvQpIYHsNNDxDTQqa,Been One,2023-06-30,19,spotify:album:69bYMgvQpIYHsNNDxDTQqa,album
3v9a1PtWXE5NopNCeaw1sj,Peaches & Eggplants (feat. Latto & Sexyy Red),2023-09-08,1,spotify:album:3v9a1PtWXE5NopNCeaw1sj,single
2LdlfTE6xqf2Ez8LPAFZSy,Welcome 2 Collegrove,2023-11-17,21,spotify:album:2LdlfTE6xqf2Ez8LPAFZSy,album
3ZuNOvosbywUYTfgZc09tU,Nightmares In the Trenches,2023-11-17,11,spotify:album:3ZuNOvosbywUYTfgZc09tU,album
2bgo85yjFegHRyRROMaiWm,ISSA PARTY (feat. BabyDrill),2023-09-29,1,spotify:album:2bgo85yjFegHRyRROMaiWm,single
1FSxhiCNZgovaqCQnlnHbX,SpinDatBac,2023-11-17,1,spotify:album:1FSxhiCNZgovaqCQnlnHbX,single
73djAmtght7e1sfNLior3P,24 hours to live,2023-10-27,1,spotify:album:73djAmtght7e1sfNLior3P,single
3XYWRia8E82cJI6WrDLTTQ,Bongos (feat. Megan Thee Stallion),2023-09-08,1,spotify:album:3XYWRia8E82cJI6WrDLTTQ,single
0p82QxkLngaHhRkbET3IZ0,Brand New,2023-09-27,1,spotify:album:0p82QxkLngaHhRkbET3IZ0,single
0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,2023-10-13,18,spotify:album:0HS8aknH0JQdMIiBVhyOCW,album
1jhGoiKDR41Qa2mzlveJFX,Too Good To Be True,2023-11-10,17,spotify:album:1jhGoiKDR41Qa2mzlveJFX,album
5wBErX7aRc72byoh2KIHl6,Saint Michael V2,2023-11-24,17,spotify:album:5wBErX7aRc72byoh2KIHl6,album
1Oi3PgQhL4WOKe1aoPCpqe,Aria,2023-09-22,1,spotify:album:1Oi3PgQhL4WOKe1aoPCpqe,single
5EcypjAXyzxlrF5AKCNg9K,Body Moving,2023-11-17,1,spotify:album:5EcypjAXyzxlrF5AKCNg9K,single
1CS8eBSCVXMwYJytG5aYfX,Lover/Friend,2023-11-30,4,spotify:album:1CS8eBSCVXMwYJytG5aYfX,album
3XTTqxcEOZgaTobJlRefvF,Saving Up,2023-10-06,1,spotify:album:3XTTqxcEOZgaTobJlRefvF,single
6Br9xGHQxq9VrTjsiYJ7NJ,Rule The World (Everybody),2023-10-27,1,spotify:album:6Br9xGHQxq9VrTjsiYJ7NJ,single
2GyIYK9C2K870xKjo5HI9D,Water,2023-11-15,1,spotify:album:2GyIYK9C2K870xKjo5HI9D,single
3vT1YpvKNkGVN3XE1f3kQY,When We Were Young (The Logical Song),2023-11-10,2,spotify:album:3vT1YpvKNkGVN3XE1f3kQY,single
4LvkMrD1HDDOzWHRS7GKE1,Dress Code,2023-10-06,1,spotify:album:4LvkMrD1HDDOzWHRS7GKE1,single
5asqLE8StjaHpMWSyjzo2D,SURRENDER,2023-10-27,5,spotify:album:5asqLE8StjaHpMWSyjzo2D,single
0GuEvq4vzB9QqUaU8lVL0F,ten,2023-10-13,1,spotify:album:0GuEvq4vzB9QqUaU8lVL0F,single
7vQRJ5q9b0c4gKrsh9yIhE,Mid Air,2023-09-08,11,spotify:album:7vQRJ5q9b0c4gKrsh9yIhE,album
3E3JRB0gGzHuc56GB3hUPJ,Stay High,2023-11-24,2,spotify:album:3E3JRB0gGzHuc56GB3hUPJ,single
2EQauiLBwWg9SCzJ07bEHj,Veneno,2023-11-10,1,spotify:album:2EQauiLBwWg9SCzJ07bEHj,single
3eKGADmjALWfFIXHDak5DB,Losing Control,2023-09-15,1,spotify:album:3eKGADmjALWfFIXHDak5DB,single
5HRtN5JcxONyY8WlvayG2g,I Believe In Love Again (Jex Opolis Remix),2023-12-01,2,spotify:album:5HRtN5JcxONyY8WlvayG2g,single
4dIIRxQJD8krCBjlEBDX35,Can't Play Myself (A Tribute To Amy),2023-10-13,1,spotify:album:4dIIRxQJD8krCBjlEBDX35,single
0fUKZB6bCIkamKICaWy2t2,Mercy (feat. Jacob Lusk),2023-06-23,1,spotify:album:0fUKZB6bCIkamKICaWy2t2,single
6D1c9gOUIaHAdY9ixKx47n,BELLYDANCING,2023-11-02,1,spotify:album:6D1c9gOUIaHAdY9ixKx47n,single
5H1GCTOowyeZzBVBddvdFD,This Mixtape is Fire TOO,2023-12-01,14,spotify:album:5H1GCTOowyeZzBVBddvdFD,album
6YFH6hee6fTJjlRddtl8gN,Jungle,2023-09-22,1,spotify:album:6YFH6hee6fTJjlRddtl8gN,single
1Pei7Y5MNZQvfkDWds5EWa,More Baby,2023-09-15,3,spotify:album:1Pei7Y5MNZQvfkDWds5EWa,single
5t81OipNDNgEJ8MR5RVwFU,Higher Power,2023-11-10,1,spotify:album:5t81OipNDNgEJ8MR5RVwFU,single
1nqF9ybDGwuGl1rVERp5Q4,The Cruelest Summer,2023-10-19,3,spotify:album:1nqF9ybDGwuGl1rVERp5Q4,single
3rGYf6tkyIJ4BE2O2k7o0d,Atmosphere,2023-08-11,1,spotify:album:3rGYf6tkyIJ4BE2O2k7o0d,single
79Cyc8GRWnLyjdJSMyJ0dB,Vois sur ton chemin (Techno Mix),2023-08-04,1,spotify:album:79Cyc8GRWnLyjdJSMyJ0dB,single
20ssXnN1FKqAfIE6zSM8gQ,God Is In The Soundwaves,2023-10-27,1,spotify:album:20ssXnN1FKqAfIE6zSM8gQ,single
7jLbqg4aQyJdd9Wq6zrB2m,Heart Still Beating,2023-10-27,1,spotify:album:7jLbqg4aQyJdd9Wq6zrB2m,single
5h8OA47knr8723Mc73vVMD,Memories,2023-10-20,1,spotify:album:5h8OA47knr8723Mc73vVMD,single
0vJYeZ82yiEUvuGBDMoqwL,Past Life,2023-09-22,1,spotify:album:0vJYeZ82yiEUvuGBDMoqwL,single
2axYqSKAhWaN60ijTZ0XXg,Overdrive (feat. Norma Jean Martine),2023-10-06,1,spotify:album:2axYqSKAhWaN60ijTZ0XXg,single
3xaAySZDsBeu2k12tDaLsZ,Take My Chance,2023-11-10,2,spotify:album:3xaAySZDsBeu2k12tDaLsZ,single
2b2p2llc051aP6YlPG5AnK,Won't Forget You,2023-09-29,1,spotify:album:2b2p2llc051aP6YlPG5AnK,single
6CxgIkOgE7uIG4p70b8lyl,I Wanna Dance,2023-10-20,1,spotify:album:6CxgIkOgE7uIG4p70b8lyl,single
3S6FlsCt2FK6saAarcRoyy,NRG,2023-10-06,2,spotify:album:3S6FlsCt2FK6saAarcRoyy,single
628CN0UzuPsstc678cQ5Sn,If U Need It,2023-11-03,1,spotify:album:628CN0UzuPsstc678cQ5Sn,single
4Lgy6GaK2eR2QwOyoDeDg0,Fall Again,2023-10-27,1,spotify:album:4Lgy6GaK2eR2QwOyoDeDg0,single
7jENFxE6ngcSKd9UqjEKxY,Real Love,2023-09-22,1,spotify:album:7jENFxE6ngcSKd9UqjEKxY,single
5Xs1g4UOOm6NBk4cSxyl2M,Drums (Feat. Kim Petras),2023-10-06,1,spotify:album:5Xs1g4UOOm6NBk4cSxyl2M,single
3QOx2Pb0YAOD48iVQOAqjA,Dance No More (with Kaleena Zanders),2023-08-25,3,spotify:album:3QOx2Pb0YAOD48iVQOAqjA,single
7CGatMISsY9SZCJhVsYiT5,thicc,2023-11-14,1,spotify:album:7CGatMISsY9SZCJhVsYiT5,single
7AE0HaidGUaRBSmIZmJ8As,Sunshine (My Girl),2023-09-01,1,spotify:album:7AE0HaidGUaRBSmIZmJ8As,single
1pQODgWcJzz8oUoucbos1R,Tell That Boy,2023-10-12,2,spotify:album:1pQODgWcJzz8oUoucbos1R,single
7hijxy3rso2MSNyHf0K5kj,Love On You (feat. Griff Clawson),2023-11-10,1,spotify:album:7hijxy3rso2MSNyHf0K5kj,single
6fmQcEPiGQlBlA8LGClYVU,Big FU,2023-10-27,2,spotify:album:6fmQcEPiGQlBlA8LGClYVU,single
6x2zv2rhiwUYECd681EisA,Milkshake 20 (Alex Wann Remix),2023-09-12,1,spotify:album:6x2zv2rhiwUYECd681EisA,single
5LASDBDtLLEt3QqVtgOoaM,When Will We Land?,2023-10-20,11,spotify:album:5LASDBDtLLEt3QqVtgOoaM,album
21q5qrGNBSI1ihI0TT5348,Carry Me Higher,2023-11-17,5,spotify:album:21q5qrGNBSI1ihI0TT5348,single
6chhPL4qq4x8IEkvEDTL3R,DNA (Loving You) [feat. Hannah Boleyn],2023-07-28,1,spotify:album:6chhPL4qq4x8IEkvEDTL3R,single
25YdkG6ZzOjou6uNQaC0NY,"Dance For Me (1, 2, 3) [Stutter Techno]",2023-09-27,1,spotify:album:25YdkG6ZzOjou6uNQaC0NY,single
5crYO6MbmHmFPHW9G6hr3p,All Night,2023-11-17,1,spotify:album:5crYO6MbmHmFPHW9G6hr3p,single
2JjG2Nnj87eX9lDnNNNdqP,Spring Girl,2023-08-25,1,spotify:album:2JjG2Nnj87eX9lDnNNNdqP,single
4AWEbvZ2qwNLBbAYCdwc8Y,Me Me Me EP,2023-09-01,2,spotify:album:4AWEbvZ2qwNLBbAYCdwc8Y,single
