artists,album_id
3SozjO3Lat463tQICI9LcE,22sXXkKgjEuawIFL1e1tRw
2LIk90788K0zvyj2JJVwkJ,6VCO0fDBGbRW8mCEvV95af
45dkTj5sMRSjrmBSBeiHym,3UOV8XvCwMKaATRNXrYCjN
6M2wZ9GZgrQXHCFfjv46we,5pTaRVLwZOFObIbRBubmeb
6vWDO969PvNqNYHIOW5v0m,1H1ivGeE2LjPjE71OITTZs
7uMDnSZyUYNBPLhPMNuaM2,18ogtNq9F7DmMkNYO6Xb4k
7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG
06HL4z0CvFAxyc27GXpf02,1NAmidJlEaVgA3MpcPFYGq
6HaGTQPmzraVmaVxvz6EUc,5pSk3c3wVwnb2arb6ohCPU
4q3ewBCX7sLwd24euuV69X,4FftCsAcXXD1nFO9RFUNFO
5cj0lLjcoR7YOSnhnX0Po5,54dZypaXHAIDzBe9ujAZ63
1McMsnEElThX1knmY4oliG,1xJHno7SmdVtZAtXbdbDZp
40ZNYROS4zLfyyBSs2PGe2,6PbnGueEO6LGodPfvNldYf
70kkdajctXSbqSMJbQO424,6PbnGueEO6LGodPfvNldYf
2uYWxilOVlUdk4oV9DvwqK,2Cn1d2KgbkAqbZCJ1RzdkA
46pWGuE3dSwY3bMMXGBvVS,2b2GHWESCWEuHiCZ2Skedp
0C8ZW7ezQVs4URX5aX7Kqx,2b2GHWESCWEuHiCZ2Skedp
06HL4z0CvFAxyc27GXpf02,5q3jthpn2h59P7pe2gmAl7
5cj0lLjcoR7YOSnhnX0Po5,6DmPNcfpkXBVRJsEIJY9tl
6M2wZ9GZgrQXHCFfjv46we,5cH7FqB7JD5q1tJXJ7FHYu
1Xyo4u8uXC1ZmMpatF05PJ,5O0zUvdnJr0RbWzLFneN2i
699OTQXzgjhIYAHMy9RyPD,5O0zUvdnJr0RbWzLFneN2i
6tbjWDEIzxoDsBA1FuhfPW,5O0zUvdnJr0RbWzLFneN2i
45dkTj5sMRSjrmBSBeiHym,54FpKE2Pug3xbPz26WUVSH
74KM79TiuVKeVCqs8QtB0B,2g4aJTa5ejGpp0O0GKzWAQ
6HaGTQPmzraVmaVxvz6EUc,53985D8g3JcGBoULSOYYKX
3MdXrJWsbVzdn6fe5JYkSQ,53985D8g3JcGBoULSOYYKX
2RQXRUsr4IW1f3mKyKsy4B,50ZenUP4O2Q5eCy2NRNvuz
0jbo7KFNMiIkfBR6ih0yhm,66k6EGkPtYoN44anGIsEPW
33qOK5uJ8AR2xuQQAhHump,7nacKlk586eLRBSIsrk9DB
7tYKF4w9nC0nq9CsPZTHyP,1nrVofqDRs7cpWXJ49qTnP
6qqNVTkY8uBg9cP3Jd7DAH,3AafSrFIbJPH6BJHiJm1Cd
2hlmm7s2ICUX0LVIhVFlZQ,5qmZefgh78fN3jsyPPlvuw
246dkjvS1zLTtiykXe5h60,7qcSUc5Af63mhfTF60KTEA
06HL4z0CvFAxyc27GXpf02,64LU4c1nfjz1t4VnGhagcg
1McMsnEElThX1knmY4oliG,2yHTMVFGHODKJOjVL1hLgk
3WGpXCj9YhhfX11TToZcXP,5UcGyEltve5psjxSRsHx8E
4zoRNhOhsGX3w8yBAnFSQ8,1j5AROUr8rq5xb2CXDIH1c
3TVXtAsR1Inumwj472S9r4,4czdORdCWP9umpbhFXK2fW
6l3HvQ5sa6mXTsMTB19rO5,4czdORdCWP9umpbhFXK2fW
0Y5tJX1MQlPlqiwlOH1tJY,18NOKLkZETa4sWwLMIm0UZ
33NVpKoXjItPwUJTMZIOiY,6NcI39WPu4kY6Tul11nhSv
1Xyo4u8uXC1ZmMpatF05PJ,7tzVd1fwkxsorytCBjEJkU
250b0Wlc5Vk0CoUsaCY84M,7tzVd1fwkxsorytCBjEJkU
1pBLC0qVRTB5zVMuteQ9jJ,7tzVd1fwkxsorytCBjEJkU
6HvZYsbFfjnjFrWF950C9d,5V729UqvhwNOcMejx0m55I
4E2rKHVDssGJm2SCDOMMJB,71MqBkcflJ1Rz1SHo8XSi5
1U1el3k54VvEUzo3ybLPlM,1y8Yw0NDcP2qxbZufIXt7u
5wCmhq5J2hPwL2r0eKurxn,5MU0RmBSpoSxOPYBfcobDc
5KKpBU5eC2tJDzf0wmlRp2,5MU0RmBSpoSxOPYBfcobDc
5VadK1havLhK1OpKYsXv9y,5MU0RmBSpoSxOPYBfcobDc
4GJ6xDCF5jaUqD6avOuQT6,5If2zLk3mlHXuhIS7rQF90
7iK8PXO48WeuP03g8YR51W,3puAvurwvtvi1rodndIPW8
0hCNtLu0JehylgoiP8L4Gh,5CM66hwjlbZ06LhONWXOAs
3LZZPxNDGDFVSIPqf4JuEf,5CM66hwjlbZ06LhONWXOAs
6kBjAFKyd0he7LiA5GQ3Gz,5CM66hwjlbZ06LhONWXOAs
2mLA48B366zkELXYx7hcDN,2LVDNOUUy2g8517ZEtQIcK
5YGY8feqx7naU7z4HrwZM6,5DvJgsMLbaR1HmAI6VhfcQ
