playlist_id,playlist_name,description,tracks_count,uri
37i9dQZF1DXcBWIGoYBM5M,Today’s Top Hits,Jack Harlow is on top of the Hottest 50!,50,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,"Music from Drake, Jack Harlow and Gucci Mane. ",50,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
37i9dQZF1DX4dyzvuaRJ0n,mint,The world's biggest dance hits. Cover: Argy,75,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
37i9dQZF1DXcF6B6QPhFDv,Rock This,Bring Me The Horizon along with today's Rock songs you need to know.,50,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
37i9dQZF1DX4SBhb3fqCJd,RNB X,Where R&B lives. Cover: Chris Brown,50,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
37i9dQZF1DX10zKzsJ2jva,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: Kali Uchis & KAROL G",50,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
37i9dQZF1DX1lVhptIYRda,Hot Country,Today's top country hits. Cover: Megan Moroney,50,spotify:playlist:37i9dQZF1DX1lVhptIYRda
37i9dQZF1DWZMWLrh2UzwC,New Music Friday Malaysia,The best newly released songs of the week. Cover: Alextbh,84,spotify:playlist:37i9dQZF1DWZMWLrh2UzwC
37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds,"The best new music by independent artists and labels. Cover: UCHE YARA. Artwork by Isu Kim.
",111,spotify:playlist:37i9dQZF1DWWjGdmeTyeJ6
37i9dQZF1DX0XUfTFmNBRM,Hot Hits Hindi,Hottest Hindi music served here. Cover - Tiger 3,50,spotify:playlist:37i9dQZF1DX0XUfTFmNBRM
37i9dQZF1DWZNJXX2UeBij,All Out 00's Hindi,Bollywood songs that ruled hearts in the Y2K decade. Cover - Jab We Met,100,spotify:playlist:37i9dQZF1DWZNJXX2UeBij
37i9dQZF1DXdpQPPZq3F7n,Bollywood Mush,Let these songs be the background score to your love story. Cover - Animal,75,spotify:playlist:37i9dQZF1DXdpQPPZq3F7n
37i9dQZF1DX14CbVHtvHRB,Trending Valentine's Hits ,India's Ultimate Love Playlist. Cover- Jawan,75,spotify:playlist:37i9dQZF1DX14CbVHtvHRB
37i9dQZF1DWXtlo6ENS92N,Bollywood Central,"Bollywood Central, jab baje toh seedha dil ke centre mein lage ❤️",50,spotify:playlist:37i9dQZF1DWXtlo6ENS92N
37i9dQZF1DXa6iPZDThhLh,90s Love Hits,Relive the '90s with these beautiful romantic hits. Cover - Dil,100,spotify:playlist:37i9dQZF1DXa6iPZDThhLh
37i9dQZF1DX8xfQRRX1PDm,Bollywood Dance Music,"Party-ready, biggest Bollywood dance tracks of last 10 years. Cover - Satyameva Jayate",75,spotify:playlist:37i9dQZF1DX8xfQRRX1PDm
37i9dQZF1DXd8cOUiye1o2,New Music Hindi,"Dunki's first single is out, and we're have it on loop! Listen now.",75,spotify:playlist:37i9dQZF1DXd8cOUiye1o2
37i9dQZF1DXa2huSXaKVkW,All Out 90s Hindi,"K..K..K..Kiran to T..T..T..Tuffy, the wonderfully unique decade. Cover - Raja",100,spotify:playlist:37i9dQZF1DXa2huSXaKVkW
37i9dQZF1DWVq1SXCH6uFn,00's Love Hits,Fall in love with 00's Bollywood like never before! Cover - Bachna Ae Haseeno,100,spotify:playlist:37i9dQZF1DWVq1SXCH6uFn
37i9dQZF1DWXVJK4aT7pmk,Hot Hits Punjabi,"Catch the hottest Punjabi tracks with Sidhu Moose Wala on the cover for his track ""Watch out""",75,spotify:playlist:37i9dQZF1DWXVJK4aT7pmk
37i9dQZF1DX5cZuAHLNjGz,Punjabi 101,Ultimate 101 Punjabi Hits with Diljit Dosanjh,101,spotify:playlist:37i9dQZF1DX5cZuAHLNjGz
37i9dQZF1DWXkMnNwaapIj,I-Pop Superhits,Biggest hits from your favourite pop stars. Cover- Yo Yo Honey Singh,90,spotify:playlist:37i9dQZF1DWXkMnNwaapIj
37i9dQZF1DWTqYqGLu7kTX,Hip Te Hop,"This is how we do it, This is our style.
Cover: Sidhu Moose Wala",75,spotify:playlist:37i9dQZF1DWTqYqGLu7kTX
37i9dQZF1DX5baCFRgbF3x,New Music Punjabi,Stay updated with all the smashing new Punjabi music! Cover- B Praak,100,spotify:playlist:37i9dQZF1DX5baCFRgbF3x
37i9dQZF1DWSKoG4oVafMt,Punjabi Pyar,The very best of Punjabi romance featuring Jordan Sandhu,76,spotify:playlist:37i9dQZF1DWSKoG4oVafMt
37i9dQZF1DWVDCraF986xg,Punjabi X,Catch all the collaborations and crossovers in Punjabi music. Cover: Guru Randhawa ,50,spotify:playlist:37i9dQZF1DWVDCraF986xg
37i9dQZF1DX9L0PulSSl2E,Chill Karlo,"Sit Back , Unwind Te Thand Rakho! Cover: Avvy Sra, Karan Aujla",50,spotify:playlist:37i9dQZF1DX9L0PulSSl2E
37i9dQZF1DWStljCmevj7t,Punjabi Swag,Wakhre Te Athre Punjabi tracks. Cover: Amrit Maan,100,spotify:playlist:37i9dQZF1DWStljCmevj7t
