artist_id,artist_name,uri,followers,popularity,genres
3SozjO3Lat463tQICI9LcE,Tyla,spotify:artist:3SozjO3Lat463tQICI9LcE,311158,74,[]
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,3173959,82,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
45dkTj5sMRSjrmBSBeiHym,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,4165902,83,"['alt z', 'pop']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,42353541,85,"['dance pop', 'pop', 'uk pop']"
6vWDO969PvNqNYHIOW5v0m,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,36520280,83,"['pop', 'r&b']"
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,370369,76,['singer-songwriter pop']
7tYKF4w9nC0nq9CsPZTHyP,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,16063562,87,"['pop', 'r&b', 'rap']"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,94400005,100,['pop']
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,11512231,89,['k-pop']
4q3ewBCX7sLwd24euuV69X,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,77353135,95,"['reggaeton', 'trap latino', 'urbano latino']"
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,27486230,86,"['dance pop', 'pop']"
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,30383252,87,['pop']
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,2671741,86,"['classic oklahoma country', 'modern country pop']"
70kkdajctXSbqSMJbQO424,Kacey Musgraves,spotify:artist:70kkdajctXSbqSMJbQO424,1261172,75,"['classic texas country', 'contemporary country', 'country dawn']"
2uYWxilOVlUdk4oV9DvwqK,Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,5951670,82,"['brooklyn indie', 'pov: indie']"
46pWGuE3dSwY3bMMXGBvVS,Rema,spotify:artist:46pWGuE3dSwY3bMMXGBvVS,3581648,77,"['afrobeats', 'nigerian pop']"
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,46873877,81,"['pop', 'post-teen pop']"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,94400005,100,['pop']
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,27486230,86,"['dance pop', 'pop']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,42353541,85,"['dance pop', 'pop', 'uk pop']"
