category_id,description,playlist_id,playlist_name,tracks_count,uri
toplists,Jack Harlow is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,Today’s Top Hits,50,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
toplists,"Music from Drake, Jack Harlow and Gucci Mane. ",37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
toplists,The world's biggest dance hits. Cover: Argy,37i9dQZF1DX4dyzvuaRJ0n,mint,75,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
toplists,Bring Me The Horizon along with today's Rock songs you need to know.,37i9dQZF1DXcF6B6QPhFDv,Rock This,50,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
toplists,Where R&B lives. Cover: Chris Brown,37i9dQZF1DX4SBhb3fqCJd,RNB X,50,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
toplists,"Today's top Latin hits, elevando nuestra música. Cover: Kali Uchis & KAROL G",37i9dQZF1DX10zKzsJ2jva,Viva Latino,50,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
toplists,Today's top country hits. Cover: Megan Moroney,37i9dQZF1DX1lVhptIYRda,Hot Country,50,spotify:playlist:37i9dQZF1DX1lVhptIYRda
toplists,The best newly released songs of the week. Cover: Alextbh,37i9dQZF1DWZMWLrh2UzwC,New Music Friday Malaysia,84,spotify:playlist:37i9dQZF1DWZMWLrh2UzwC
toplists,"The best new music by independent artists and labels. Cover: UCHE YARA. Artwork by Isu Kim.
",37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds,111,spotify:playlist:37i9dQZF1DWWjGdmeTyeJ6
0JQ5DAqbMKFHCxg5H5PtqW,Hottest Hindi music served here. Cover - Tiger 3,37i9dQZF1DX0XUfTFmNBRM,Hot Hits Hindi,50,spotify:playlist:37i9dQZF1DX0XUfTFmNBRM
0JQ5DAqbMKFHCxg5H5PtqW,Bollywood songs that ruled hearts in the Y2K decade. Cover - Jab We Met,37i9dQZF1DWZNJXX2UeBij,All Out 00's Hindi,100,spotify:playlist:37i9dQZF1DWZNJXX2UeBij
0JQ5DAqbMKFHCxg5H5PtqW,Let these songs be the background score to your love story. Cover - Animal,37i9dQZF1DXdpQPPZq3F7n,Bollywood Mush,75,spotify:playlist:37i9dQZF1DXdpQPPZq3F7n
0JQ5DAqbMKFHCxg5H5PtqW,India's Ultimate Love Playlist. Cover- Jawan,37i9dQZF1DX14CbVHtvHRB,Trending Valentine's Hits ,75,spotify:playlist:37i9dQZF1DX14CbVHtvHRB
0JQ5DAqbMKFHCxg5H5PtqW,"Bollywood Central, jab baje toh seedha dil ke centre mein lage ❤️",37i9dQZF1DWXtlo6ENS92N,Bollywood Central,50,spotify:playlist:37i9dQZF1DWXtlo6ENS92N
0JQ5DAqbMKFHCxg5H5PtqW,Relive the '90s with these beautiful romantic hits. Cover - Dil,37i9dQZF1DXa6iPZDThhLh,90s Love Hits,100,spotify:playlist:37i9dQZF1DXa6iPZDThhLh
0JQ5DAqbMKFHCxg5H5PtqW,"Party-ready, biggest Bollywood dance tracks of last 10 years. Cover - Satyameva Jayate",37i9dQZF1DX8xfQRRX1PDm,Bollywood Dance Music,75,spotify:playlist:37i9dQZF1DX8xfQRRX1PDm
0JQ5DAqbMKFHCxg5H5PtqW,"Dunki's first single is out, and we're have it on loop! Listen now.",37i9dQZF1DXd8cOUiye1o2,New Music Hindi,75,spotify:playlist:37i9dQZF1DXd8cOUiye1o2
0JQ5DAqbMKFHCxg5H5PtqW,"K..K..K..Kiran to T..T..T..Tuffy, the wonderfully unique decade. Cover - Raja",37i9dQZF1DXa2huSXaKVkW,All Out 90s Hindi,100,spotify:playlist:37i9dQZF1DXa2huSXaKVkW
0JQ5DAqbMKFHCxg5H5PtqW,Fall in love with 00's Bollywood like never before! Cover - Bachna Ae Haseeno,37i9dQZF1DWVq1SXCH6uFn,00's Love Hits,100,spotify:playlist:37i9dQZF1DWVq1SXCH6uFn
0JQ5DAqbMKFKSopHMaeIeI,"Catch the hottest Punjabi tracks with Sidhu Moose Wala on the cover for his track ""Watch out""",37i9dQZF1DWXVJK4aT7pmk,Hot Hits Punjabi,75,spotify:playlist:37i9dQZF1DWXVJK4aT7pmk
0JQ5DAqbMKFKSopHMaeIeI,India's Ultimate Love Playlist. Cover- Jawan,37i9dQZF1DX14CbVHtvHRB,Trending Valentine's Hits ,75,spotify:playlist:37i9dQZF1DX14CbVHtvHRB
0JQ5DAqbMKFKSopHMaeIeI,Ultimate 101 Punjabi Hits with Diljit Dosanjh,37i9dQZF1DX5cZuAHLNjGz,Punjabi 101,101,spotify:playlist:37i9dQZF1DX5cZuAHLNjGz
0JQ5DAqbMKFKSopHMaeIeI,Biggest hits from your favourite pop stars. Cover- Yo Yo Honey Singh,37i9dQZF1DWXkMnNwaapIj,I-Pop Superhits,90,spotify:playlist:37i9dQZF1DWXkMnNwaapIj
0JQ5DAqbMKFKSopHMaeIeI,"This is how we do it, This is our style.
Cover: Sidhu Moose Wala",37i9dQZF1DWTqYqGLu7kTX,Hip Te Hop,75,spotify:playlist:37i9dQZF1DWTqYqGLu7kTX
0JQ5DAqbMKFKSopHMaeIeI,Stay updated with all the smashing new Punjabi music! Cover- B Praak,37i9dQZF1DX5baCFRgbF3x,New Music Punjabi,100,spotify:playlist:37i9dQZF1DX5baCFRgbF3x
0JQ5DAqbMKFKSopHMaeIeI,The very best of Punjabi romance featuring Jordan Sandhu,37i9dQZF1DWSKoG4oVafMt,Punjabi Pyar,76,spotify:playlist:37i9dQZF1DWSKoG4oVafMt
