location.name,location.region,location.country,location.lat,location.lon,location.tz_id,current.temp_c,current.temp_f,current.condition.text,current.condition.icon,current.wind_kph,current.pressure_in,current.precip_in,current.humidity,current.cloud,current.last_updated_epoch
New Delhi,Delhi,India,28.61,77.21,Asia/Kolkata,23.0,73.4,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,11.2,30.06,0.0,31,0,1702802700
Bangalore,Karnataka,India,12.97,77.59,Asia/Kolkata,24.0,75.2,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,11.2,30.0,0.0,69,75,1702802700
Pune,Maharashtra,India,18.52,73.86,Asia/Kolkata,27.8,82.1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.9,29.88,0.0,42,21,1702802700
Bombay,Maharashtra,India,19.08,72.88,Asia/Kolkata,32.0,89.6,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,9.0,29.85,0.0,38,0,1702802700
Jaipur,Rajasthan,India,26.91,75.79,Asia/Kolkata,24.0,75.2,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,6.8,30.06,0.0,41,25,1702802700
Chennai,Tamil Nadu,India,13.08,80.27,Asia/Kolkata,30.0,86.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,24.1,29.85,0.0,70,75,1702802700
Hyderabad,Andhra Pradesh,India,17.39,78.49,Asia/Kolkata,26.0,78.8,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,6.8,30.0,0.0,51,25,1702803600
Ahmedabad,Gujarat,India,23.02,72.57,Asia/Kolkata,28.0,82.4,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,16.9,29.94,0.0,37,0,1702802700
Lucknow,Uttar Pradesh,India,26.85,80.95,Asia/Kolkata,23.0,73.4,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,9.0,30.0,0.0,33,0,1702803600
Calcutta,West Bengal,India,22.57,88.36,Asia/Kolkata,24.0,75.2,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,6.8,29.94,0.0,41,0,1702803600
